100K
threads  throughput   qins_us     qw_us     batch     qdepth   ov_nodes   ap_retry   zone_rot    app_us     bt_us   appends
1           7759.18       .26       .03      1.00       1.00       2.99          0          0     33.71    126.92    299028
2           9065.55       .70       .14      1.01       1.01       3.01          0          0     33.35    110.78    298231
4          11624.66       .85       .16      1.92       1.48       4.72          0          0     31.85    161.49    245549
8          11972.10      2.26       .37      3.98       2.82       8.18          0          0     34.10    297.85    205378
16         13723.92      5.18       .19      8.10       4.67      14.63          0          0     32.41    532.05    180594
32         17087.40     19.73      1.05     16.54      10.56      24.38          0          0     31.64    610.96    147385
64         20528.21     35.51      2.92     54.43       7.91      68.09          0          0     31.19         0    125093

1M
threads  throughput   qins_us     qw_us     batch     qdepth   ov_nodes   ap_retry   zone_rot    app_us     bt_us   appends
1           8254.90       .17       .03      1.00       1.00       3.28          0          0     30.44    118.76   3280450
2           9353.12       .33       .10      1.00       1.00       3.27          0          0     30.09    105.51   3272071
4          11724.25       .50       .14      1.96       1.55       5.34          0          0     29.09    163.24   2723652
8          11086.15      2.04       .29      4.21       2.66       9.81          0          0     32.08    374.74   2332264
16         12378.43      5.58       .22      8.33       5.01      17.82          0          0     31.62    639.87   2139403
32         13571.71     16.45       .78     16.47      11.39      32.29          0          0     30.61   1152.70   1959823
64         14993.23     33.52      2.55     54.29       9.17      97.39          0          0     30.43   3593.72   1793599

10M
threads  throughput   qins_us     qw_us     batch     qdepth   ov_nodes   ap_retry   zone_rot    app_us     bt_us   appends
1           7410.94       .16       .03      1.00       1.00       3.97          0          0     28.79    133.28  39693118
2           8269.15       .21       .08      1.00       1.00       3.97          0          0     28.32    119.05  39701816
4           9724.74       .25       .09      2.00       1.59       6.79          0          0     28.13    202.02  33975001
8           9680.42      1.83       .31      4.75       2.62      13.88          0          0     29.97    481.06  29226108
16         10852.54      3.49       .28      8.69       4.71      23.11          0          0     29.51    788.16  26586465
32         12370.39      9.86       .44     20.45      10.99      48.22          0          0     28.67   1612.57  23573434
64         12809.26     27.93      2.10     53.16      10.16     115.65          0          0     29.76   3978.96  21756677

